"method","result_type","c_value_set","confusion matrix","encounter error rate","encounter number error","event F-score","event precision","event recall","gmm_mix_set","label event","number of label","number of matching event","number of prediction","pred event","segment F-score","segment precision","segment recall","threshold_averagestep_set","threshold_set","total matching iou"
"crnn10","average_result",NA,"[[796218.   1492.]
 [   983.   7707.]]","0.06297093649085038","117","0.8745108270284373","0.8486075949367089","0.9020452099031216",NA,NA,"1858","1676.0","1975",NA,"0.8616468220694281","0.8868814729574224","0.8378084574410262","[(0.5, 1), (0.4, 1), (0.5, 1), (0.5, 1)]",NA,"1420.1677128427127"
"crnn10","hmm_bino_result",NA,"[[796374.   1535.]
 [   827.   7664.]]","0.0527448869752422","98","0.8993919292426755","0.9244318181818182","0.8756727664155005",NA,NA,"1858","1627.0","1760",NA,"0.8664782362916902","0.902602755859145","0.8331340363082944",NA,NA,"1402.7778027528027"
"crnn10","hmm_bino_threshold_result",NA,"[[796296.   1502.]
 [   905.   7697.]]","0.04682454251883746","87","0.8988702121796638","0.9209486166007905","0.8778256189451022",NA,NA,"1858","1631.0","1771",NA,"0.8647828773664401","0.894791908858405","0.8367213827589955",NA,NA,"1401.043675768676"
"crnn10","hmm_gmm_result",NA,"[[7.92367e+05 7.03000e+02]
 [4.83400e+03 8.49600e+03]]","0.11517761033369214","214","0.862086513994911","0.8175675675675675","0.9117330462863293","[64, 64, 64, 64]",NA,"1858","1694.0","2072",NA,"0.7542278840605442","0.6373593398349587","0.9235786498532449",NA,NA,"1268.172908919426"
"crnn10","nn_result",NA,"[[796295.   1524.]
 [   906.   7675.]]","0.05651237890204521","105","0.8762104161214341","0.8527763627101376","0.9009687836383208",NA,NA,"1858","1674.0","1963",NA,"0.8633295838020247","0.8944179000116537","0.834329818458528",NA,NA,"1422.8796176046176"
"crnn10","threshold_result",NA,"[[796218.   1492.]
 [   983.   7707.]]","0.06297093649085038","117","0.8745108270284373","0.8486075949367089","0.9020452099031216",NA,NA,"1858","1676.0","1975",NA,"0.8616468220694281","0.8868814729574224","0.8378084574410262",NA,"[0.5, 0.4, 0.5, 0.5]","1420.1677128427127"
"crnn100","average_result",NA,"[[796373.   1478.]
 [   828.   7721.]]","0.006996770721205597","13","0.8954901431271942","0.8986449864498645","0.8923573735199138",NA,NA,"1858","1658.0","1845",NA,"0.8700698670272706","0.903146566849924","0.8393303619958691","[(0.4, 1), (0.4, 1), (0.4, 1), (0.5, 1)]",NA,"1418.6907287157283"
"crnn100","hmm_bino_result",NA,"[[7.96579e+05 1.62600e+03]
 [6.22000e+02 7.57300e+03]]","0.10495156081808396","195","0.9071286566316388","0.9603126879134095","0.8595263724434876",NA,NA,"1858","1597.0","1663",NA,"0.8707600321950097","0.9241000610128127","0.8232416567018154",NA,NA,"1388.8651875901878"
"crnn100","hmm_bino_threshold_result",NA,"[[7.96426e+05 1.51000e+03]
 [7.75000e+02 7.68900e+03]]","0.08665231431646932","161","0.9046413502109705","0.9475545079552151","0.8654467168998924",NA,NA,"1858","1608.0","1697",NA,"0.8706335277132989","0.9084357277882797","0.8358517230133711",NA,NA,"1398.8510101010102"
"crnn100","hmm_gmm_result",NA,"[[7.91776e+05 5.80000e+02]
 [5.42500e+03 8.61900e+03]]","0.06781485468245425","126","0.8776678813118167","0.8497983870967742","0.907427341227126","[32, 64, 64, 32]",NA,"1858","1686.0","1984",NA,"0.7416426450974487","0.6137140415835944","0.9369496684422219",NA,NA,"1185.9900767759752"
"crnn100","nn_result",NA,"[[7.96528e+05 1.58600e+03]
 [6.73000e+02 7.61300e+03]]","0.02852529601722282","53","0.9025389025389026","0.9157894736842105","0.8896663078579118",NA,NA,"1858","1653.0","1805",NA,"0.8708035458964827","0.9187786628047309","0.8275899554299381",NA,NA,"1408.4133477633475"
"crnn100","threshold_result",NA,"[[796373.   1478.]
 [   828.   7721.]]","0.006996770721205597","13","0.8954901431271942","0.8986449864498645","0.8923573735199138",NA,NA,"1858","1658.0","1845",NA,"0.8700698670272706","0.903146566849924","0.8393303619958691",NA,"[0.4, 0.4, 0.4, 0.5]","1418.6907287157283"
"crnn1200","average_result",NA,"[[796401.   1381.]
 [   800.   7818.]]","0.006458557588805167","12","0.9071274298056156","0.9100758396533044","0.9041980624327234",NA,NA,"1858","1680.0","1846",NA,"0.8775888196666105","0.9071710373636575","0.8498749864115664","[(0.7, 1), (0.6, 1), (0.6, 1), (0.6, 1)]",NA,"1438.9514430014426"
"crnn1200","hmm_bino_result",NA,"[[796121.   1205.]
 [  1080.   7994.]]","0.044671689989235736","83","0.9171483622350675","0.9385915492957746","0.8966630785791173",NA,NA,"1858","1666.0","1775",NA,"0.8749521151425601","0.8809786202336346","0.869007500815306",NA,NA,"1440.538235049264"
"crnn1200","hmm_bino_threshold_result",NA,"[[7.96427e+05 1.39900e+03]
 [7.74000e+02 7.80000e+03]]","0.08127018299246501","151","0.9172510518934082","0.9578207381370826","0.879978471474704",NA,NA,"1858","1635.0","1707",NA,"0.8777358915208462","0.9097270818754374","0.8479182519839112",NA,NA,"1425.4577516437805"
"crnn1200","hmm_gmm_result",NA,"[[7.9065e+05 3.8800e+02]
 [6.5510e+03 8.8110e+03]]","0.03498385360602799","65","0.8881248346998148","0.8731149245969839","0.903659849300323","[8, 32, 32, 32]",NA,"1858","1679.0","1923",NA,"0.717478930010993","0.5735581304517641","0.9578215023372105",NA,NA,"1148.6745468498805"
"crnn1200","nn_result",NA,"[[796089.   1188.]
 [  1112.   8011.]]","0.03283100107642627","61","0.9007148530579825","0.8863991662324127","0.9155005382131324",NA,NA,"1858","1701.0","1919",NA,"0.8744678528544919","0.8781102707442727","0.8708555277747582",NA,NA,"1452.4683080808077"
"crnn1200","threshold_result",NA,"[[796401.   1381.]
 [   800.   7818.]]","0.006458557588805167","12","0.9071274298056156","0.9100758396533044","0.9041980624327234",NA,NA,"1858","1680.0","1846",NA,"0.8775888196666105","0.9071710373636575","0.8498749864115664",NA,"[0.7, 0.6, 0.6, 0.6]","1438.9514430014426"
"crnn2","average_result",NA,"[[796039.   1796.]
 [  1162.   7403.]]","0.19321851453175456","359","0.823558282208589","0.7568786648624267","0.9031216361679225",NA,NA,"1858","1678.0","2217",NA,"0.833483449673497","0.8643315820198482","0.8047613871072943","[(0.4, 1), (0.4, 1), (0.4, 1), (0.3, 1)]",NA,"1342.706168831168"
"crnn2","hmm_bino_result",NA,"[[7.96499e+05 1.97400e+03]
 [7.02000e+02 7.22500e+03]]","0.08503767491926803","158","0.8887015177065767","0.93","0.8509149623250807",NA,NA,"1858","1581.0","1700",NA,"0.8437463505780685","0.9114419074050712","0.7854114577671486",NA,NA,"1311.5379010695183"
"crnn2","hmm_bino_threshold_result",NA,"[[796231.   1748.]
 [   970.   7451.]]","0.02583423035522067","48","0.8844056706652127","0.8961325966850828","0.8729817007534983",NA,NA,"1858","1622.0","1810",NA,"0.8457434733257662","0.8848117800736255","0.8099793455810415",NA,NA,"1345.6550560550559"
"crnn2","hmm_gmm_result",NA,"[[793525.   1003.]
 [  3676.   8196.]]","0.08772874058127018","163","0.8594998711007992","0.8248391885205344","0.8972012917115177","[128, 128, 128, 64]",NA,"1858","1667.0","2021",NA,"0.7779412462626358","0.6903638814016172","0.8909664093923253",NA,NA,"1276.8111573407373"
"crnn2","nn_result",NA,"[[796387.   2036.]
 [   814.   7163.]]","0.11410118406889128","212","0.8385947046843177","0.7956521739130434","0.8864370290635092",NA,NA,"1858","1647.0","2070",NA,"0.834070796460177","0.897956625297731","0.7786715947385585",NA,NA,"1305.4355339105336"
"crnn2","threshold_result",NA,"[[796039.   1796.]
 [  1162.   7403.]]","0.19321851453175456","359","0.823558282208589","0.7568786648624267","0.9031216361679225",NA,NA,"1858","1678.0","2217",NA,"0.833483449673497","0.8643315820198482","0.8047613871072943",NA,"[0.4, 0.4, 0.4, 0.3]","1342.706168831168"
"crnn4","average_result",NA,"[[796267.   1713.]
 [   934.   7486.]]","0.09095801937567277","169","0.8576576576576577","0.8219042920572275","0.8966630785791173",NA,NA,"1858","1666.0","2027",NA,"0.8497644588228617","0.8890736342042755","0.8137841069681487","[(0.4, 1), (0.2, 1), (0.4, 1), (0.5, 1)]",NA,"1381.0537878787877"
"crnn4","hmm_bino_result",NA,"[[7.96651e+05 1.88600e+03]
 [5.50000e+02 7.31300e+03]]","0.09149623250807319","170","0.8984771573604061","0.9437203791469194","0.8573735199138859",NA,NA,"1858","1593.0","1688",NA,"0.8572265853944437","0.9300521429479842","0.7949777149690184",NA,NA,"1352.3133227883225"
"crnn4","hmm_bino_threshold_result",NA,"[[796397.   1720.]
 [   804.   7479.]]","0.060279870828848225","112","0.892896781354051","0.9215349369988545","0.8659849300322928",NA,NA,"1858","1609.0","1746",NA,"0.8556229264386226","0.9029337196667874","0.8130231546907273",NA,NA,"1366.1087717837715"
"crnn4","hmm_gmm_result",NA,"[[793516.    939.]
 [  3685.   8260.]]","0.06727664155005382","125","0.8643582400416558","0.8371154815935451","0.8934337997847147","[64, 128, 64, 128]",NA,"1858","1660.0","1983",NA,"0.781309118426031","0.6915027208036836","0.8979236873573214",NA,NA,"1293.6366622575913"
"crnn4","nn_result",NA,"[[7.96536e+05 1.88400e+03]
 [6.65000e+02 7.31500e+03]]","0.05651237890204521","105","0.8646951059931955","0.8415690269994905","0.8891280947255114",NA,NA,"1858","1652.0","1963",NA,"0.8516211653763316","0.9166666666666666","0.7951951299054245",NA,NA,"1364.7704545454549"
"crnn4","threshold_result",NA,"[[796267.   1713.]
 [   934.   7486.]]","0.09095801937567277","169","0.8576576576576577","0.8219042920572275","0.8966630785791173",NA,NA,"1858","1666.0","2027",NA,"0.8497644588228617","0.8890736342042755","0.8137841069681487",NA,"[0.4, 0.2, 0.4, 0.5]","1381.0537878787877"
"crnn40","average_result",NA,"[[796266.   1418.]
 [   935.   7781.]]","0.02583423035522067","48","0.8783209351753454","0.8672612801678908","0.8896663078579118",NA,NA,"1858","1653.0","1906",NA,"0.868657549539492","0.8927260211106012","0.845852810088053","[(0.4, 1), (0.6, 1), (0.3, 1), (0.3, 1)]",NA,"1428.6399350649347"
"crnn40","hmm_bino_result",NA,"[[7.96502e+05 1.61400e+03]
 [6.99000e+02 7.58500e+03]]","0.09095801937567277","169","0.9027347053848322","0.9478981645944345","0.8616792249730894",NA,NA,"1858","1601.0","1689",NA,"0.8677000514785792","0.915620473201352","0.8245461463202522",NA,NA,"1383.5296897546896"
"crnn40","hmm_bino_threshold_result",NA,"[[796359.   1430.]
 [   842.   7769.]]","0.06458557588805167","120","0.9037819799777531","0.9349827387802071","0.8745963401506996",NA,NA,"1858","1625.0","1738",NA,"0.8724312184166199","0.9022180931366857","0.8445483204696163",NA,NA,"1418.3309107559105"
"crnn40","hmm_gmm_result",NA,"[[7.91897e+05 6.57000e+02]
 [5.30400e+03 8.54200e+03]]","0.08288482238966631","154","0.8614987080103359","0.8285288270377733","0.8972012917115177","[16, 32, 32, 32]",NA,"1858","1667.0","2012",NA,"0.7413321761770449","0.6169290769897443","0.9285791933905859",NA,NA,"1214.318009557522"
"crnn40","nn_result",NA,"[[7.96487e+05 1.60500e+03]
 [7.14000e+02 7.59400e+03]]","0.03229278794402583","60","0.8933260393873085","0.9082313681868743","0.8789020452099031",NA,NA,"1858","1633.0","1798",NA,"0.8675386988061918","0.9140587385652383","0.8255245135340797",NA,NA,"1402.6085858585855"
"crnn40","threshold_result",NA,"[[796266.   1418.]
 [   935.   7781.]]","0.02583423035522067","48","0.8783209351753454","0.8672612801678908","0.8896663078579118",NA,NA,"1858","1653.0","1906",NA,"0.868657549539492","0.8927260211106012","0.845852810088053",NA,"[0.4, 0.6, 0.3, 0.3]","1428.6399350649347"
"crnn400","average_result",NA,"[[7.96409e+05 1.38500e+03]
 [7.92000e+02 7.81400e+03]]","0.004843918191603875","9","0.9036241610738255","0.9014461703267274","0.9058127018299247",NA,"[0 0 0 ... 1 1 1]","1858","1683.0","1867","[0 0 0 ... 1 1 0]","0.8777309744453805","0.9079711828956541","0.8494401565387543",NA,NA,"1438.1444805194803"
"crnn400","hmm_bino_result",NA,"[[7.965e+05 1.467e+03]
 [7.010e+02 7.732e+03]]","0.09095801937567277","169","0.9151395545531436","0.9609236234458259","0.8735199138858988",NA,"[0 0 0 ... 1 1 1]","1858","1623.0","1689","[0 0 1 ... 1 1 1]","0.8770417422867514","0.9168741847503854","0.8405261441461028",NA,NA,"1416.1217171717171"
"crnn400","hmm_bino_threshold_result",NA,"[[7.96456e+05 1.41700e+03]
 [7.45000e+02 7.78200e+03]]","0.08503767491926803","158","0.9173693086003373","0.96","0.8783638320775027",NA,"[0 0 0 ... 1 1 1]","1858","1632.0","1700","[0 0 1 ... 1 1 1]","0.8780322689834142","0.9126304679254134","0.8459615175562561",NA,NA,"1420.2102092352086"
"crnn400","hmm_gmm_result",NA,"[[7.92023e+05 5.50000e+02]
 [5.17800e+03 8.64900e+03]]","0.00968783638320775","18","0.8998393144081414","0.8955223880597015","0.9041980624327234",NA,"[0 0 1 ... 1 1 1]","1858","1680.0","1876","[0 0 0 ... 1 0 0]","0.7512377312603145","0.6255152961596876","0.9402108924883139",NA,NA,"1180.3982974308149"
"crnn400","nn_result",NA,"[[7.96457e+05 1.43800e+03]
 [7.44000e+02 7.76100e+03]]","0.004843918191603875","9","0.9020771513353115","0.9042725797728501","0.8998923573735199",NA,"[0 0 0 ... 1 1 1]","1858","1672.0","1849","[0 0 0 ... 1 1 0]","0.8767510167193855","0.9125220458553792","0.8436786607239918",NA,NA,"1433.4159090909088"
"crnn400","threshold_result",NA,"[[7.96409e+05 1.38500e+03]
 [7.92000e+02 7.81400e+03]]","0.004843918191603875","9","0.9036241610738255","0.9014461703267274","0.9058127018299247",NA,"[0 0 0 ... 1 1 1]","1858","1683.0","1867","[0 0 0 ... 1 1 0]","0.8777309744453805","0.9079711828956541","0.8494401565387543",NA,NA,"1438.1444805194803"
"crnn6","average_result",NA,"[[796201.   1468.]
 [  1000.   7731.]]","0.09580193756727665","178","0.866974833076528","0.8290766208251473","0.9085037674919269",NA,NA,"1858","1688.0","2036",NA,"0.8623535973229225","0.8854655824075135","0.8404174366778998","[(0.4, 1), (0.3, 1), (0.5, 1), (0.5, 1)]",NA,"1431.80303030303"
"crnn6","hmm_bino_result",NA,"[[7.96506e+05 1.62300e+03]
 [6.95000e+02 7.57600e+03]]","0.06566200215285253","122","0.899276572064552","0.9308755760368663","0.8697524219590959",NA,NA,"1858","1616.0","1736",NA,"0.8673153978248426","0.9159714665699432","0.8235677791064246",NA,NA,"1402.1421411921408"
"crnn6","hmm_bino_threshold_result",NA,"[[796315.   1479.]
 [   886.   7720.]]","0.03659849300322928","68","0.8974780701754386","0.9145251396648044","0.8810548977395048",NA,NA,"1858","1637.0","1790",NA,"0.8671721426565572","0.8970485707645829","0.8392216545276661",NA,NA,"1414.7885697635695"
"crnn6","hmm_gmm_result",NA,"[[7.92431e+05 7.56000e+02]
 [4.77000e+03 8.44300e+03]]","0.0984930032292788","183","0.8658630418055911","0.8270455658990691","0.9085037674919269","[128, 64, 128, 64]",NA,"1858","1688.0","2041",NA,"0.7534356594681421","0.638991901914781","0.9178171540384824",NA,NA,"1293.8255008170288"
"crnn6","nn_result",NA,"[[7.9642e+05 1.6020e+03]
 [7.8100e+02 7.5970e+03]]","0.05651237890204521","105","0.878304108872023","0.8548140601120734","0.9031216361679225",NA,NA,"1858","1678.0","1963",NA,"0.8644251009842407","0.9067796610169492","0.825850635938689",NA,NA,"1421.150649350649"
"crnn6","threshold_result",NA,"[[796201.   1468.]
 [  1000.   7731.]]","0.09580193756727665","178","0.866974833076528","0.8290766208251473","0.9085037674919269",NA,NA,"1858","1688.0","2036",NA,"0.8623535973229225","0.8854655824075135","0.8404174366778998",NA,"[0.4, 0.3, 0.5, 0.5]","1431.80303030303"
"crnn8","average_result",NA,"[[7.96414e+05 1.58900e+03]
 [7.87000e+02 7.61000e+03]]","0.01776103336921421","33","0.8850360096025607","0.8773135906927552","0.8928955866523143",NA,NA,"1858","1659.0","1891",NA,"0.8649693112070925","0.9062760509705847","0.8272638330253288","[(0.7, 1), (0.5, 1), (0.4, 1), (0.4, 1)]",NA,"1403.2851370851372"
"crnn8","hmm_bino_result",NA,"[[7.96491e+05 1.63100e+03]
 [7.10000e+02 7.56800e+03]]","0.07804090419806244","145","0.9000280033604032","0.9381202568593111","0.864908503767492",NA,NA,"1858","1607.0","1713",NA,"0.8660525261772616","0.9142304904566321","0.8226981193608001",NA,NA,"1388.5442224442222"
"crnn8","hmm_bino_threshold_result",NA,"[[7.96483e+05 1.59700e+03]
 [7.18000e+02 7.60200e+03]]","0.07588805166846072","141","0.9023776223776224","0.9394292370413512","0.8681377825618946",NA,NA,"1858","1613.0","1717",NA,"0.8678577544380387","0.9137019230769231","0.8263941732797043",NA,NA,"1391.6763653013652"
"crnn8","hmm_gmm_result",NA,"[[793561.    799.]
 [  3640.   8400.]]","0.041442411194833155","77","0.8821513313999473","0.8645994832041344","0.9004305705059203","[64, 64, 64, 64]",NA,"1858","1673.0","1935",NA,"0.7909976929233956","0.6976744186046512","0.9131427329057507",NA,NA,"1280.9812969650368"
"crnn8","nn_result",NA,"[[7.96416e+05 1.61800e+03]
 [7.85000e+02 7.58100e+03]]","0.02045209903121636","38","0.8811933937133724","0.8723628691983122","0.8902045209903121",NA,NA,"1858","1654.0","1896",NA,"0.8631938514090521","0.9061678221372221","0.82411131644744",NA,NA,"1400.0204545454542"
"crnn8","threshold_result",NA,"[[7.96414e+05 1.58900e+03]
 [7.87000e+02 7.61000e+03]]","0.01776103336921421","33","0.8850360096025607","0.8773135906927552","0.8928955866523143",NA,NA,"1858","1659.0","1891",NA,"0.8649693112070925","0.9062760509705847","0.8272638330253288",NA,"[0.7, 0.5, 0.4, 0.4]","1403.2851370851372"
"lenet","average_result",NA,"[[795873.   2468.]
 [  1328.   6731.]]","0.4892357373519914","909","0.7225945945945946","0.6039031441994941","0.8993541442411195",NA,"[1 1 0 ... 1 1 1]","1858","1671.0","2767","[0 0 0 ... 0 0 0]","0.7800440375478039","0.8352152872564834","0.7317099684748343",NA,NA,"1166.7520923520922"
"lenet","hmm_bino_result",NA,"[[7.96444e+05 2.36900e+03]
 [7.57000e+02 6.83000e+03]]","0.1781485468245425","331","0.8738552437223043","0.9685658153241651","0.7960172228202368",NA,"[1 0 0 ... 1 1 1]","1858","1479.0","1527","[1 1 1 ... 1 1 1]","0.8137733825807221","0.900224067483854","0.7424720078269377",NA,NA,"1203.4533255143544"
"lenet","hmm_bino_threshold_result",NA,"[[796200.   2207.]
 [  1001.   6992.]]","0.14908503767491926","277","0.8735097412038383","0.9500316255534472","0.8083961248654468",NA,"[1 0 0 ... 1 1 1]","1858","1502.0","1581","[1 1 1 ... 1 1 1]","0.8134015821312238","0.8747654197422745","0.7600826176758343",NA,NA,"1220.0461321315424"
"lenet","hmm_gmm_result",NA,"[[792744.   1357.]
 [  4457.   7842.]]","0.015069967707212056","28","0.8584598698481561","0.8650273224043716","0.8519913885898815",NA,"[1 1 0 ... 1 1 1]","1858","1583.0","1830","[0 1 1 ... 1 1 0]","0.7295562377895618","0.6376128140499228","0.8524839656484401",NA,NA,"1218.923184234763"
"lenet","nn_result",NA,"[[796247.   2683.]
 [   954.   6516.]]","0.3589881593110872","667","0.7510837326032398","0.6518811881188119","0.8858988159311088",NA,"[1 1 0 ... 1 1 1]","1858","1646.0","2525","[0 0 1 ... 0 0 0]","0.7818105465234867","0.8722891566265061","0.7083378628111752",NA,NA,"1128.7433621933621"
"lenet","threshold_result",NA,"[[795873.   2468.]
 [  1328.   6731.]]","0.4892357373519914","909","0.7225945945945946","0.6039031441994941","0.8993541442411195",NA,"[1 1 0 ... 1 1 1]","1858","1671.0","2767","[0 0 0 ... 0 0 0]","0.7800440375478039","0.8352152872564834","0.7317099684748343",NA,NA,"1166.7520923520922"
"svm","hmm_bino_result",NA,"[[795875.   5249.]
 [  1326.   3950.]]","0.39289558665231433","730","0.652377762893503","0.8634751773049646","0.5242195909580194",NA,"[0 0 0 ... 0 0 0]","1858","974.0","1128","[0 1 1 ... 1 1 1]","0.5457685664939551","0.7486732373009856","0.42939449940210894",NA,NA,"695.2132672882672"
"svm","svm_result","[10.0, 100.0, 10.0, 10.0]","[[795838.   5692.]
 [  1363.   3507.]]","0.5134553283100107","954","0.5370449678800856","0.44594594594594594","0.6749192680301399",NA,"[0 0 1 ... 0 0 0]","1858","1254.0","2812","[0 0 0 ... 0 0 0]","0.49854289572819677","0.7201232032854209","0.3812370909881509",NA,NA,"563.6695526695526"
"vgg","average_result",NA,"[[795824.   2542.]
 [  1377.   6657.]]","0.5376749192680301","999","0.7075291622481442","0.583829191459573","0.8977395048439182",NA,NA,"1858","1668.0","2857",NA,"0.7725874775140719","0.828603435399552","0.7236656158278074","[(0.4, 1), (0.5, 1), (0.5, 1), (0.5, 1)]",NA,"1162.3866161616156"
"vgg","hmm_bino_result",NA,"[[796355.   2356.]
 [   846.   6843.]]","0.15177610333692143","282","0.8683750728013978","0.9460659898477157","0.802475780409042",NA,NA,"1858","1491.0","1576",NA,"0.8103979156797726","0.8899726882559501","0.7438852049135776",NA,NA,"1217.2106311172483"
"vgg","hmm_bino_threshold_result",NA,"[[796312.   2320.]
 [   889.   6879.]]","0.14531754574811626","270","0.8699941961694718","0.9439546599496221","0.8067814854682455",NA,NA,"1858","1499.0","1588",NA,"0.810868155831909","0.8855561277033985","0.7477986737688879",NA,NA,"1222.4609974176146"
"vgg","hmm_gmm_result",NA,"[[793177.   1472.]
 [  4024.   7727.]]","0.004305705059203444","8","0.8543689320388349","0.8562162162162162","0.852529601722282","[16, 16, 16, 16]",NA,"1858","1584.0","1850",NA,"0.7376610978520286","0.6575610586333078","0.8399826068050875",NA,NA,"1246.959321521272"
"vgg","nn_result",NA,"[[795890.   2583.]
 [  1311.   6616.]]","0.5080731969860065","944","0.711587982832618","0.5917201998572448","0.8923573735199138",NA,NA,"1858","1658.0","2802",NA,"0.7726264159757095","0.8346158698120348","0.7192086096314817",NA,NA,"1156.1366161616156"
"vgg","threshold_result",NA,"[[795824.   2542.]
 [  1377.   6657.]]","0.5376749192680301","999","0.7075291622481442","0.583829191459573","0.8977395048439182",NA,NA,"1858","1668.0","2857",NA,"0.7725874775140719","0.828603435399552","0.7236656158278074",NA,"[0.4, 0.5, 0.5, 0.5]","1162.3866161616156"
